Date,Description,Amount
2025-07-01,Walmart Superstore,-120.50
2025-07-02,Salary Deposit,3000.00
2025-07-03,Netflix Subscription,-15.99
2025-07-04,McDonald's,-8.50
2025-07-05,Uber Ride,-12.75
2025-07-06,Amazon Purchase,-45.00
2025-07-07,Gym Membership,-40.00
2025-07-08,Freelance Payment,500.00
2025-07-09,Starbucks,-6.25
2025-07-10,Electricity Bill,-60.00
2025-07-11,Rent Payment,-950.00
2025-07-12,Spotify Subscription,-9.99
2025-07-13,Public Transport,-2.75
2025-07-14,Domino's Pizza,-13.20
2025-07-15,Internet Bill,-50.00
2025-08-06,Amazon Purchase,-55.00
2025-08-07,Gym Membership,-30.00
2025-08-08,Freelance Payment,400.00
2025-08-09,Starbucks,-5.25
2025-08-10,Electricity Bill,-700.00
2025-08-11,Rent Payment,-950.00
2025-08-12,Spotify Subscription,-9.99
2025-08-13,Public Transport,-5.75
2025-08-14,Domino's Pizza,-16.20
2025-08-15,Internet Bill,-60.00
